CountryCode,CountryName,IndicatorName,OriginalIndicatorName,Year,Value,Zone
USA,United States,Life_Expectancy,"Life expectancy at birth, total (years)",2003,77.0365853658537,Health
GBR,United Kingdom,Life_Expectancy,"Life expectancy at birth, total (years)",2003,78.4463414634146,Health
TUR,Turkiye,Life_Expectancy,"Life expectancy at birth, total (years)",2003,72.906,Health
ZAF,South Africa,Life_Expectancy,"Life expectancy at birth, total (years)",2003,54.245,Health
SAU,Saudi Arabia,Life_Expectancy,"Life expectancy at birth, total (years)",2003,73.657,Health
RUS,Russian Federation,Life_Expectancy,"Life expectancy at birth, total (years)",2003,65.0275609756098,Health
MEX,Mexico,Life_Expectancy,"Life expectancy at birth, total (years)",2003,73.308,Health
KOR,"Korea, Rep.",Life_Expectancy,"Life expectancy at birth, total (years)",2003,77.2146341463415,Health
JPN,Japan,Life_Expectancy,"Life expectancy at birth, total (years)",2003,81.76,Health
ITA,Italy,Life_Expectancy,"Life expectancy at birth, total (years)",2003,79.9829268292683,Health
IDN,Indonesia,Life_Expectancy,"Life expectancy at birth, total (years)",2003,67.134,Health
IND,India,Life_Expectancy,"Life expectancy at birth, total (years)",2003,64.086,Health
DEU,Germany,Life_Expectancy,"Life expectancy at birth, total (years)",2003,78.3804878048781,Health
FRA,France,Life_Expectancy,"Life expectancy at birth, total (years)",2003,79.1146341463415,Health
CHN,China,Life_Expectancy,"Life expectancy at birth, total (years)",2003,73.385,Health
CAN,Canada,Life_Expectancy,"Life expectancy at birth, total (years)",2003,79.7151219512195,Health
BRA,Brazil,Life_Expectancy,"Life expectancy at birth, total (years)",2003,70.884,Health
AUS,Australia,Life_Expectancy,"Life expectancy at birth, total (years)",2003,80.2390243902439,Health
ARG,Argentina,Life_Expectancy,"Life expectancy at birth, total (years)",2003,74.307,Health
USA,United States,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,6.9,Health
GBR,United Kingdom,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,5.3,Health
TUR,Turkiye,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,24.6,Health
ZAF,South Africa,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,48.6,Health
SAU,Saudi Arabia,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,16.5,Health
RUS,Russian Federation,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,12.9,Health
MEX,Mexico,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,20.8,Health
KOR,"Korea, Rep.",Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,5.0,Health
JPN,Japan,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,2.9,Health
ITA,Italy,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,4.1,Health
IDN,Indonesia,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,36.1,Health
IND,India,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,60.5,Health
DEU,Germany,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,4.1,Health
FRA,France,Infant_Mortality,"Mortality rate, infant (per 1,000 live births)",2003,3.6,Health
