Country,series,Country,Series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
USA,SP.DYN.LE00.IN,United States,"Life expectancy at birth, total (years)",78.5414634146342,78.6414634146341,78.7414634146342,78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,76.9804878048781,76.3292682926829,77.4341463414634,78.3853658536585,
GBR,SP.DYN.LE00.IN,United Kingdom,"Life expectancy at birth, total (years)",80.4024390243902,80.9512195121951,80.9048780487805,81.0048780487805,81.3048780487805,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756,81.3691219512195,80.331756097561,80.6473170731707,81.0112195121951,81.2380975609756,
TUR,SP.DYN.LE00.IN,Turkiye,"Life expectancy at birth, total (years)",74.964,74.823,75.552,76.171,76.452,76.539,76.595,77.037,77.454,77.737,76.525,75.722,77.591,77.156,
ZAF,SP.DYN.LE00.IN,South Africa,"Life expectancy at birth, total (years)",58.886,60.602,61.737,62.388,63.184,64.053,64.749,65.422,65.726,66.071,65.15,62.01,65.454,66.139,
SAU,SP.DYN.LE00.IN,Saudi Arabia,"Life expectancy at birth, total (years)",75.616,75.808,76.09,76.517,77.116,77.776,78.354,78.721,78.75,78.313,77.596,77.089,77.31,78.732,
RUS,SP.DYN.LE00.IN,Russian Federation,"Life expectancy at birth, total (years)",68.8412195121951,69.6839024390244,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342,72.6621951219512,73.0839024390244,71.3387804878049,69.900243902439,72.5456097560976,73.2546341463415,
MEX,SP.DYN.LE00.IN,Mexico,"Life expectancy at birth, total (years)",73.718,73.921,74.128,74.289,74.404,74.431,74.376,74.261,74.301,74.53,70.449,69.75,73.973,75.069,
KOR,SP.DYN.LE00.IN,"Korea, Rep.","Life expectancy at birth, total (years)",80.1170731707317,80.5682926829269,80.819512195122,81.2707317073171,81.7219512195122,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,83.2268292682927,83.4268292682927,83.5268292682927,82.6804878048781,83.4292682926829,
JPN,SP.DYN.LE00.IN,Japan,"Life expectancy at birth, total (years)",82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146,84.56,84.4456097560976,83.9963414634146,84.0412195121951,
ITA,SP.DYN.LE00.IN,Italy,"Life expectancy at birth, total (years)",82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.7,83.7,
IDN,SP.DYN.LE00.IN,Indonesia,"Life expectancy at birth, total (years)",68.364,68.629,68.862,69.064,69.292,69.52,69.733,69.953,70.08,70.349,68.817,67.452,70.925,71.146,
IND,SP.DYN.LE00.IN,India,"Life expectancy at birth, total (years)",67.162,67.623,68.076,68.499,68.932,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003,
